FileName,ObservedScore_Label,ObservedScore,CalculatedScore,Capacity_mAh,SOC_pct,MaxDisplacement,ForceRate,VoltageAtCollapse,MaxTemperature,TempRateOfRise,VoltageDifference,source,ts_voltage_initial,ts_voltage_final,ts_voltage_drop,ts_voltage_min,ts_voltage_mean,ts_voltage_std,ts_voltage_collapse,ts_temp_max,ts_temp_initial,ts_temp_rise,ts_temp_rate_max,ts_force_max,ts_force_mean,ts_force_final,ts_disp_max,ts_disp_final,ts_test_duration,dataset_type,session,session_type
Soteria-SCC-20SOC-5180mAh,"No effect, instant local Joule heating, no internal discharge – 1",1,5.0,5180,20.0,19.94893785338972,0.1492547176778316,3.2806666666666673,25.199369430541992,0.6284409165382385,0.008,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
OE-LCO-6470mAh-60SOC,"Physical effect (pouch swelling), rupture of pouch, gas release –  6",6,89.10403347028061,6470,60.0,31.17243349978093,31.885933303833006,36.879,150.24270629882812,134.25656127929688,3.874,TR_V1,3.866,-0.008,3.874,-0.078,2.8896532970768187,1.5685818433997814,1000.0,150.2427,22.2874,127.95530000000001,16.465139999999998,3.81,-92.6123965556311,3.529,,,291.574,thermal_runaway,,
OE-LCO-6490mAh-60SOC,"Moderate effect, extended joule heating, local reactions (limited spread) – 4",4,43.11254241325191,6490,60.0,24.129538012362833,17.485337734222412,12.331,,,,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
OE-LCO-6270mAh-40SOC,"Moderate effect, extended joule heating, local reactions (limited spread) – 4",4,35.08908188131647,6270,40.0,24.829442514530783,13.150972700119018,7.942,60.47536087036133,55.37251663208008,0.0790000000000001,TR_V1,3.793,3.714,0.07900000000000018,2.523,3.741200486618004,0.08748749256908289,0.0,60.47536,22.40166,38.0737,5.539369999999998,2.251,-60.50028418491484,1.655,,,523.884,thermal_runaway,,
OE-LCO-6500mAh-20SOC,"Moderate effect, extended joule heating, local reactions (no spread) – 3",3,42.97080894921714,6500,20.0,27.97416453177227,13.4799777507782,12.35,,,,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
OE-LCO-6560mAh-0SOC,"Moderate effect, extended joule heating, local reactions (no spread) – 3",3,34.306964366034855,6560,0.0,30.292295455436104,14.017068910598756,0.8309333333333333,133.97979736328125,59.01923751831055,3.398,TR_V1,3.439,0.041,3.398,0.039,1.492096742349457,1.566332770325117,3655.0,133.9798,22.51813,111.46167000000001,7.89143,0.747,-59.72678907535374,-8.735,,,537.852,thermal_runaway,,
OE-LCO-6550mAh-20SOC,"Moderate effect, extended joule heating, local reactions (no spread) – 3",3,33.075636490127906,6550,20.0,26.52717243983494,13.23346405029297,4.148333333333333,78.79060363769531,55.7198486328125,0.2230000000000003,TR_V1,3.744,3.521,0.2230000000000003,2.464,3.6324590055976294,0.10404905040050332,0.0,78.7906,22.13915,56.65145,7.051189999999998,7.468,-48.284733454066505,0.541,,,587.807,thermal_runaway,,
OE-LCO-6500mAh-40SOC,"Moderate effect, extended joule heating, local reactions (limited spread) – 4",4,42.122202545876625,6500,40.0,24.813470417733317,19.90873212814331,8.233333333333334,,,,TR_V1,3.782,3.718,0.06400000000000006,2.679,3.7388886041603855,0.08378250964149023,0.0,60.3199,22.39816,37.92174,10.40145,5.244,-61.75290533614712,4.168,,,561.303,thermal_runaway,,
OE-LCO-6340mAh-0SOC,"No effect, instant local Joule heating, no internal discharge – 1",1,27.447384644634077,6340,0.0,28.558576108358853,8.919075202941894,0.8030666666666667,,,,TR_V1,3.483,0.083,3.4,0.083,1.7429836504958456,1.5491026107589634,2034.0,105.8417,22.43603,83.40567,3.7998899999999978,-0.443,-70.79520771911015,-3.33,,,365.107,thermal_runaway,,
OE-LCO-6400mAh-20SOC,"Moderate effect, extended joule heating, local reactions (no spread) – 3",3,39.95401787062128,6400,20.0,26.466261116063997,12.161090087890624,12.16,,,,TR_V1,3.747,0.703,3.044,0.702,2.5889040220956323,1.15484731062444,4085.0,78.06942,22.91085,55.15857,5.86261,3.707,-29.296759105817365,3.074,,,1145.004,thermal_runaway,,
